"V1","V2","V3","V4"
29.742239,-101.4077988,29.45003128,-101.0754852
29.45003128,-101.0754852,29.05468941,-100.6858749
29.05468941,-100.6858749,28.14941597,-100.1358337
28.14941597,-100.1358337,27.63948441,-99.63162994
27.63948441,-99.63162994,27.37019348,-99.50558472
27.37019348,-99.50558472,26.86599159,-99.31650543
26.86599159,-99.31650543,26.41335487,-99.04721832
26.41335487,-99.04721832,26.05812073,-97.98151398
26.05812073,-97.98151398,25.96644783,-97.16790771
25.96644783,-97.16790771,26.0409317,-97.20801544
26.0409317,-97.20801544,26.55086517,-97.44293213
26.55086517,-97.44293213,27.00922966,-97.54606628
27.00922966,-97.54606628,27.25560188,-97.50595856
27.25560188,-97.50595856,27.24987221,-97.59190369
27.24987221,-97.59190369,27.24414253,-97.68930817
27.24414253,-97.68930817,27.39311218,-97.72368622
27.39311218,-97.72368622,27.34154701,-97.57470703
27.34154701,-97.57470703,27.37592506,-97.51168823
27.37592506,-97.51168823,27.28997993,-97.51741791
27.28997993,-97.51741791,27.65667152,-97.36844635
27.65667152,-97.36844635,27.83428955,-97.47158051
27.83428955,-97.47158051,27.88012695,-97.48876953
27.88012695,-97.48876953,27.8915844,-97.13926697
27.8915844,-97.13926697,28.12649918,-97.20228577
28.12649918,-97.20228577,28.23535919,-96.98456573
28.23535919,-96.98456573,28.19525337,-96.8757019
28.19525337,-96.8757019,28.40724754,-96.81267548
28.40724754,-96.81267548,28.47600365,-96.79548645
28.47600365,-96.79548645,28.36713982,-96.61787415
28.36713982,-96.61787415,28.51610947,-96.46890259
28.51610947,-96.46890259,28.51037979,-96.58349609
28.51037979,-96.58349609,28.60205269,-96.57776642
28.60205269,-96.57776642,28.59059525,-96.65798187
28.59059525,-96.65798187,28.72810364,-96.61214447
28.72810364,-96.61214447,28.60778236,-96.45171356
28.60778236,-96.45171356,28.71091461,-96.40587616
28.71091461,-96.40587616,28.74529076,-96.21107483
28.74529076,-96.21107483,28.59059525,-96.23399353
28.59059525,-96.23399353,28.74529076,-95.78135681
28.74529076,-95.78135681,28.61924171,-96.00481415
28.61924171,-96.00481415,29.10625648,-95.23131561
29.10625648,-95.23131561,29.43284225,-94.91046143
29.43284225,-94.91046143,29.742239,-94.99639893
29.742239,-94.99639893,29.7651577,-94.847435
29.7651577,-94.847435,29.78234673,-94.70992279
29.78234673,-94.70992279,29.5588932,-94.75576019
29.5588932,-94.75576019,29.54743195,-94.61251831
29.54743195,-94.61251831,29.46148872,-94.68127441
29.46148872,-94.68127441,29.79953384,-93.49525452
29.79953384,-93.49525452,29.70213318,-92.90510559
29.70213318,-92.90510559,29.59326935,-92.21183014
29.59326935,-92.21183014,29.65056419,-92.12588501
29.65056419,-92.12588501,29.74797058,-92.14880371
29.74797058,-92.14880371,29.79953384,-91.8795166
29.79953384,-91.8795166,29.7193203,-91.63887024
29.7193203,-91.63887024,29.5359745,-91.53573608
29.5359745,-91.53573608,29.37554741,-91.15758514
29.37554741,-91.15758514,29.20938873,-91.03726196
29.20938873,-91.03726196,29.14063263,-90.68202972
29.14063263,-90.68202972,29.30679131,-90.49868011
29.30679131,-90.49868011,29.24376488,-90.40128326
29.24376488,-90.40128326,29.28960228,-90.32679749
29.28960228,-90.32679749,29.11771393,-90.17782593
29.11771393,-90.17782593,29.28960228,-90.06896973
29.28960228,-90.06896973,29.47867966,-89.99448395
29.47867966,-89.99448395,29.37554741,-89.83978271
29.37554741,-89.83978271,29.11198425,-89.33557892
29.11198425,-89.33557892,28.99739456,-89.35276794
28.99739456,-89.35276794,29.10052681,-89.23817444
29.10052681,-89.23817444,29.07187653,-89.16942596
29.07187653,-89.16942596,29.22084618,-89.03764343
29.22084618,-89.03764343,29.50732613,-89.57049561
29.50732613,-89.57049561,29.67921448,-89.54184723
29.67921448,-89.54184723,29.95423508,-89.21526337
29.95423508,-89.21526337,30.16049957,-89.23817444
30.16049957,-89.23817444,29.95423508,-89.587677
29.95423508,-89.587677,29.93704414,-89.74237823
29.93704414,-89.74237823,30.05163765,-89.82832336
30.05163765,-89.82832336,30.16622734,-89.68508148
30.16622734,-89.68508148,30.17195702,-89.76529694
30.17195702,-89.76529694,30.16049957,-89.85124207
30.16049957,-89.85124207,30.08028221,-90.29814911
30.08028221,-90.29814911,30.21206474,-90.42420197
30.21206474,-90.42420197,30.40114212,-90.16636658
30.40114212,-90.16636658,30.2006073,-89.5017395
30.2006073,-89.5017395,30.33811569,-89.29547882
30.33811569,-89.29547882,30.41832924,-88.7970047
30.41832924,-88.7970047,30.38968086,-88.12664032
30.38968086,-88.12664032,30.79075241,-87.98912811
30.79075241,-87.98912811,30.28654861,-87.8286972
30.28654861,-87.8286972,30.24644089,-87.92037201
30.24644089,-87.92037201,30.48708534,-87.18125916
30.48708534,-87.18125916,30.56156921,-87.1468811
30.56156921,-87.1468811,30.51573181,-87.07239532
30.51573181,-87.07239532,30.51000404,-86.98072052
30.51000404,-86.98072052,30.39541054,-87.11823273
30.39541054,-87.11823273,30.49854279,-86.19577026
30.49854279,-86.19577026,30.43551826,-86.20722961
30.43551826,-86.20722961,30.44697952,-86.51089478
30.44697952,-86.51089478,30.20633316,-85.7545929
30.20633316,-85.7545929,30.30373955,-85.823349
30.30373955,-85.823349,30.22925186,-85.70302582
30.22925186,-85.70302582,30.07455635,-85.51967621
30.07455635,-85.51967621,30.11466217,-85.68583679
30.11466217,-85.68583679,29.79953384,-85.32487488
29.79953384,-85.32487488,29.74797058,-85.40509033
29.74797058,-85.40509033,29.84537125,-85.45092773
29.84537125,-85.45092773,29.70785904,-85.3191452
29.70785904,-85.3191452,29.9714241,-84.40814209
29.9714241,-84.40814209,30.09747505,-84.17896271
